user_id,age
27,2
83,0
100,1
115,0
171,1
196,1
230,2
247,1
386,1
389,3
397,1
480,1
486,2
487,2
508,0
528,1
537,2
592,1
595,2
685,2
686,1
884,1
906,2
933,1
1015,1
1022,3
1029,1
1088,2
1177,1
1188,2
1193,4
1212,4
1216,2
1226,1
1265,1
1298,2
1309,1
1334,3
1343,1
1389,1
1403,1
1408,1
1428,1
1444,2
1487,1
1491,1
1516,1
1518,2
1559,2
1564,2
1606,2
1613,1
1617,1
1623,1
1661,1
1708,2
1737,1
1753,2
1785,1
1812,2
1953,1
1968,2
1972,1
1980,1
2117,0
2153,1
2282,1
2293,1
2333,2
2351,2
2361,1
2373,2
2388,0
2437,0
2439,1
2453,1
2461,2
2529,2
2572,1
2590,1
2608,2
2627,2
2662,0
2690,1
2706,1
2732,2
2760,2
2819,1
2842,1
2870,1
2887,2
2912,1
2927,1
2946,1
2959,1
3079,2
3100,5
3123,2
3136,0
3173,2
3192,2
3207,1
3213,0
3245,3
3285,1
3371,1
3402,3
3403,4
3406,2
3409,1
3420,2
3471,1
3506,2
3549,1
3572,1
3641,3
3668,2
3678,2
3683,1
3687,1
3721,1
3742,2
3764,1
3829,1
3835,1
3844,0
3855,2
4143,1
4155,1
4223,1
4244,2
4283,1
4306,1
4315,2
4320,1
4345,0
4412,1
4418,3
4472,3
4482,1
4494,2
4512,1
4545,1
4555,1
4585,3
4586,1
4624,0
4685,2
4709,1
4710,3
4717,0
4726,2
4739,2
4803,1
4855,2
4881,1
4917,1
4923,0
4937,2
4951,3
4967,3
4992,2
5019,3
5020,1
5041,2
5055,1
5173,2
5180,2
5184,1
5195,2
5262,1
5328,3
5355,2
5381,1
5385,1
5467,0
5473,2
5577,1
5664,2
5705,1
5739,2
5775,0
5805,1
5848,2
5863,2
5873,2
5881,2
5890,2
5916,1
5919,2
5943,1
5975,2
5980,2
6019,1
6046,2
6160,1
6259,1
6277,1
6279,2
6283,1
6284,1
6293,0
6321,1
6323,1
6324,2
6376,2
6445,1
6458,1
6470,2
6473,1
6480,1
6500,4
6504,1
6514,2
6602,2
6637,2
6687,2
6721,2
6773,1
6782,2
6821,0
6861,1
6886,1
6910,1
6915,1
6944,0
6982,1
6986,1
7044,2
7072,2
7085,1
7117,2
7182,3
7226,4
7228,1
7273,1
7362,3
7478,1
7558,2
7565,1
7570,3
7576,2
7609,2
7622,2
7644,1
7681,1
7706,2
7725,4
7726,3
7791,1
7931,2
7989,2
7990,2
8004,2
8012,1
8027,0
8043,1
8045,2
8053,2
8055,2
8063,2
8108,2
8200,2
8202,1
8332,1
8364,1
8467,2
8502,1
8543,1
8569,1
8637,1
8740,2
8758,2
8774,0
8813,1
8820,2
8833,2
8836,1
8888,1
8913,2
8926,2
8991,2
9020,1
9038,1
9065,1
9126,1
9142,2
9233,3
9268,2
9292,1
9347,0
9388,2
9435,2
9458,1
9484,1
9522,1
9539,2
9561,1
9582,1
9605,0
9612,0
9651,3
9811,2
9820,1
9823,2
9940,0
9968,0
10140,2
10148,2
10154,1
10191,1
10210,2
10330,1
10383,1
10437,2
10439,0
10496,2
10513,3
10560,1
10584,2
10586,4
10614,1
10617,1
10628,3
10641,1
10656,0
10685,2
10730,2
10819,2
10851,1
10871,2
10885,0
10895,4
10916,2
10953,2
10959,1
10992,2
11053,1
11059,1
11106,2
11128,1
11129,3
11179,1
11195,1
11253,1
11290,1
11306,1
11341,2
11356,2
11383,1
11396,2
11427,1
11434,1
11465,1
11477,1
11491,1
11543,1
11561,1
11567,2
11583,1
11619,1
11639,1
11665,1
11684,1
11726,3
11768,4
11814,1
11856,2
11859,4
11890,2
11935,1
11936,2
11938,1
11941,1
11945,2
11964,2
11999,2
12013,1
12029,2
12044,1
12064,2
12169,1
12181,2
12185,2
12201,1
12355,1
12369,2
12397,2
12404,2
12436,2
12441,1
12546,2
12578,1
12594,2
12618,2
12627,0
12660,2
12725,2
12741,3
12782,0
12823,2
12866,1
12891,1
12909,2
12956,1
12992,2
13004,0
13015,2
13027,1
13090,2
13145,2
13179,1
13212,1
13241,1
13267,1
13359,1
13362,1
13372,0
13383,2
13389,1
13397,0
13433,1
13478,1
13482,0
13519,2
13541,2
13605,4
13615,1
13620,1
13697,0
13715,1
13723,3
13735,2
13814,2
13846,1
13864,2
13922,0
13931,1
13942,1
14058,2
14080,0
14085,2
14096,2
14115,1
14137,2
14142,2
14147,2
14150,1
14220,3
14231,1
14271,1
14281,2
14291,2
14293,2
14305,2
14411,1
14456,2
14500,2
14555,2
14571,1
14595,2
14624,2
14636,2
14655,1
14717,2
14786,1
14835,1
14885,2
14894,1
14898,1
14926,1
14933,3
14997,2
15007,2
15040,1
15061,1
15081,2
15161,2
15175,2
15195,1
15205,1
15231,1
15237,2
15241,1
15277,1
15322,3
15360,2
15437,0
15469,2
15483,1
15493,1
15508,3
15525,2
15545,1
15557,1
15562,1
15663,1
15723,3
15757,2
15846,1
15951,1
15963,1
16009,1
16088,2
16101,4
16115,1
16167,2
16188,2
16190,2
16208,1
16253,2
16283,2
16295,2
16314,2
16319,1
16334,2
16359,1
16407,2
16425,1
16432,1
16444,2
16451,1
16486,3
16509,2
16531,2
16593,1
16597,2
16612,2
16629,2
16656,2
16689,1
16744,2
16757,2
16762,1
16767,1
16799,0
16872,2
16896,1
16906,4
16951,1
16954,2
17007,2
17027,1
17050,1
17056,1
17060,2
17064,2
17082,0
17123,1
17141,2
17163,0
17195,2
17207,3
17214,2
17261,0
17279,1
17285,1
17291,1
17296,1
17317,1
17335,3
17348,3
17382,1
17385,3
17387,3
17408,0
17409,2
17440,1
17474,2
17477,2
17485,2
17486,0
17495,1
17499,2
17542,1
17550,0
17552,2
17577,1
17589,2
17602,0
17626,0
17683,1
17743,2
17746,1
17842,2
17851,3
17894,2
17895,2
17945,1
17978,1
17979,2
18005,2
18050,1
18144,2
18199,1
18210,2
18245,2
18263,1
18332,2
18393,0
18407,1
18408,1
18424,2
18431,2
18437,2
18448,1
18456,1
18522,2
18533,2
18606,1
18609,2
18612,2
18615,1
18649,2
18665,1
18697,1
18722,1
18723,2
18729,1
18735,2
18747,1
